pf1,pf2,overlap_nuc,within_pareto,zscore_dist,seconds
PF00004,PF00009,128,1,-0.7029777331303794,45.60664629936218
PF00004,PF00009,131,1,-0.8447868045355678,45.69645094871521
PF00004,PF00009,134,1,-0.463218120049045,45.78036189079285
PF00004,PF00009,137,1,-0.6498338630205482,45.80178952217102
PF00004,PF00009,140,1,-0.32400889181438786,45.89844560623169
PF00004,PF00009,143,1,-0.6529840949636719,46.09433078765869
PF00004,PF00009,146,1,-0.6801936813757072,46.054620027542114
PF00004,PF00009,149,1,-0.24817432613583829,46.222575664520264
PF00004,PF00009,152,1,-0.29955972842514555,46.53644394874573
PF00004,PF00009,155,1,-0.12683647043149662,46.49755001068115
PF00004,PF00009,158,0,0.10441275800863137,46.623883962631226
PF00004,PF00009,161,1,-0.12014523212726684,46.661590814590454
PF00004,PF00009,164,1,-0.2706126264778799,46.526182413101196
PF00004,PF00009,167,0,0.0774606074078146,46.76180362701416
PF00004,PF00009,170,0,0.0930286706792938,46.95470333099365
PF00004,PF00009,173,1,-0.16430805001878893,46.82506847381592
PF00004,PF00009,176,1,-0.028594889413617885,47.048842668533325
PF00004,PF00009,179,1,-0.42530888702605535,46.862030029296875
PF00004,PF00009,182,1,-0.32450083487770703,47.01480054855347
PF00004,PF00009,185,1,-0.4326824601882971,47.22430896759033
PF00004,PF00009,188,1,-0.1288626772846331,47.27705264091492
PF00004,PF00009,191,0,0.3882126413655763,47.40438508987427
PF00004,PF00009,194,0,0.3111058322010074,47.62316918373108
PF00004,PF00009,197,1,-0.03663441879119105,47.83454656600952
PF00004,PF00009,200,0,0.12921475063077317,47.65631294250488
PF00004,PF00009,203,0,0.40054046777354846,47.95808482170105
PF00004,PF00009,206,0,0.10588795260478218,48.06113052368164
PF00004,PF00009,209,0,0.22926505961269958,48.10381531715393
PF00004,PF00009,212,0,0.3718530746756169,48.14263367652893
PF00004,PF00009,215,0,0.4378630067311907,48.28430914878845
PF00004,PF00009,218,0,0.23407946373094304,48.404011487960815
PF00004,PF00009,221,0,0.5907509277277198,48.350571632385254
PF00004,PF00009,224,0,0.36206716040339965,48.96601939201355
PF00004,PF00009,227,0,0.49092216860227456,48.68786334991455
PF00004,PF00009,230,0,0.4904027965856012,48.92131447792053
PF00004,PF00009,233,0,0.11597406668764657,48.68210792541504
PF00004,PF00009,236,0,0.5058239615609229,49.22460412979126
PF00004,PF00009,239,0,0.6442929178029155,49.23023724555969
PF00004,PF00009,242,0,0.3541539569304012,49.48124289512634
PF00004,PF00009,245,0,0.5989738128476769,49.2497022151947
PF00004,PF00009,248,0,0.7305395462881442,49.52937698364258
PF00004,PF00009,251,0,0.5214081695105012,49.8010196685791
PF00004,PF00009,254,0,0.6664836977647288,49.73393201828003
PF00004,PF00009,257,0,0.7678393120181229,49.83920121192932
PF00004,PF00009,260,0,1.0871693581922757,49.864009380340576
PF00004,PF00009,263,0,1.0774090684751674,50.126357555389404
PF00004,PF00009,266,0,0.969606749899237,50.09967517852783
PF00004,PF00009,269,0,0.7538910238394922,50.35621428489685
PF00004,PF00009,272,0,0.8531427915066143,50.422532081604004
PF00004,PF00009,275,0,0.6739975350578118,50.42937517166138
PF00004,PF00009,278,0,0.8457723019250631,50.70339918136597
PF00004,PF00009,281,0,1.0163992180419448,50.51031184196472
PF00004,PF00009,284,0,0.8254276023988301,50.70437932014465
PF00004,PF00009,287,0,1.0755511986510546,51.075725078582764
PF00004,PF00009,290,0,1.2322246157695724,50.890297412872314
PF00004,PF00009,293,0,0.8599059328857142,50.81622767448425
PF00004,PF00009,296,0,0.50292426060049,50.92624020576477
PF00004,PF00009,299,0,1.0849608436077887,51.361493825912476
PF00004,PF00009,302,0,1.22983205128384,51.44498419761658
PF00004,PF00009,305,0,0.8685281101889207,51.451951026916504
PF00004,PF00009,308,0,1.0970316434075438,51.78856611251831
PF00004,PF00009,311,0,1.7150106231724511,51.947253465652466
PF00004,PF00009,314,0,1.318963220286262,52.100658893585205
PF00004,PF00009,317,0,1.2973753818531988,51.97734451293945
PF00004,PF00009,320,0,1.4154099409005105,52.377633810043335
PF00004,PF00009,323,0,1.5625134071597238,52.42944836616516
PF00004,PF00011,13,1,-1.9397428100646446,38.069161891937256
PF00004,PF00011,16,1,-2.0757701630471708,30.28131651878357
PF00004,PF00011,19,1,-2.7022165448875963,30.31372618675232
PF00004,PF00011,22,1,-1.866754001880474,30.313238620758057
PF00004,PF00011,25,1,-2.723627378197358,30.13483166694641
PF00004,PF00011,28,1,-1.9903580980548479,30.4337375164032
PF00004,PF00011,31,1,-1.8181088638663028,30.445245265960693
PF00004,PF00011,34,1,-1.7666657326230386,30.707505226135254
PF00004,PF00011,37,1,-1.8903120344501367,30.407851219177246
PF00004,PF00011,40,1,-1.8521431006425637,30.360381603240967
PF00004,PF00011,43,1,-1.9937463589738724,30.71285319328308
PF00004,PF00011,46,1,-1.7407898416781669,30.37724733352661
PF00004,PF00011,49,1,-1.6976099544298833,30.837495803833008
PF00004,PF00011,52,1,-1.6158037091714095,30.707239627838135
